,text
49,doing individual board work this allowed us the chance to do the work on our feet literally and figuratively and get our work corrected by our instructor
50,xxx books
51,the path project i learned a lot about modeling and real world solutions
52,i enjoyed when we would get called up to solve a problem and if we did not know how to solve it other students would help us out this was beneficial because it allowed us to get rep and stay engaged in class especially on days when it was hard to stay engaged
53,xxx xxx xxx
54,i like the board work that we did in every class it helped me get a better understanding of the material that we were covering for that days lesson
55,the realworld examples of using statistics to resolve problems had the greatest benefit for me especially the lesson where we read and analyzed the trial where statistics was used to prove the innocence or guilt of the suspected murderer
56,working with tears on xxx and team portions of xxx was very helpful in achieving a high grade in the course
57,our board problems with groups and individually facilitated learning
58,i was skeptically about working board problems in the beginning but i quickly realized how much more helpful it was than simply working the problem in my notes as board work promoted working with my peers which not only helped me understand the problem better but also created an environment in which i was much more comfortable asking my peers for assistance when needed and vice versa
59,my instructor would often use real world examples in class
60,getting the chance to work with our classmates on the boards and then ask xxx xxx if we had any questions was helpful
61,xxx xxx encouraged me to research linear algebra applications of quantum physics which is my chosen area of study
62,completing board work in groups allowed me to learn from both my peers and instructor when trying to grasp the idea of marines and social network
63,the take boards exercises
64,xxx of the boards to take notes and do example problems
65,the instructor was able to manage the scope of the course and its objectives he was able to relate it to his life and enter us all personally to ensure we are receiving the material
66,visualizing the heat and wave equations
67,being in groups that we had to work together to get a good grade and do classwork with
68,i liked how we drew on boards because it helped me solve the lessons in class rather than just look at them and hope i remember in the future
69,i liked coming in class because that is what i struggled with the most
70,a helpful classroom experience i had was using follette to comprehend improbabilities and xxx chains
71,working through the lake front house data set in class was very helpful for me
72,board work with deskmates competing for extra credit
73,xxx in classroom for review
74,i had a sudden realization on how to work with a concept as xxx xxx explained it to me while we were doing boardwork
75,xxx work at the boards
76,the use of the white board for writing notes was effective to section the board off into two sections and allow students to keep up was helpful
77,xxx xxx made us do a lot of board work every day to practice problems which helped me a lot she would then come by each students board and help correct them if needed
78,xxx xxx was very positive and engaging he made the difference in the course
79,the course project provided a unique and helpful opportunity to implement material learned in class and experiment with new tools
80,taking boards is always the best way to learn i believe
81,working with my table on in class exercises
82,doing lots of work on boards taught me how to do problems
83,being in the classroom and performing the very interactive problems such as the xxx and xxx xxx challenge were very great overall any class activity really helped me in understanding the content
84,i learned a lot since i was the only person who ever talked in class or asked any questions
85,i really liked when xxx xxx drew pictures on the board to help us understand the topics conceptual
86,a helpful class experience i had was going to the board after learning the material to try and work out a problem with my small group of peers this allowed us to determine how well we grasped the topic and if we had to spend more time practicing this for future exam
87,when my god mates showed up prepared for the xxx xxx portion
88,my instructor had me go up in front of class and attempt to present some xxx i had written to answer a class question from here i was able to get constructive feed back from both him ad the class of where i had missed up in my code
89,helpful experiences include the worksheets given in class with the practice problems going to boards and discussing with classmates was also helpful
90,i really appreciated when xxx xxx would walk us through the various theories in the book those theories can be difficult to read on your own and she did a really good job teaching us how to read them and walking us through each portion of them
91,xxx days before the xxx helped when it came to reviewing in class with the instructor
92,i was able to work together with my group members to get a correct answer
93,the final project
94,doing problems on the blackguard specifically helped because if i didn understand something the chances of someone in my group knowing were high so i had them explain it to me
95,boards
96,trying to show real world application of path
97,any time xxx xxx would go over our reading or run though the processes we studied the night before really helped to cement the concept and course material into my head i found that the most important source in the class was the teacher and the xxx in a real and xxx xxx text book
98,everytime working on the boards with my group members was very beneficial to me and my learning
99,xxx xxx could tell after a particularly challenging class that i was not understanding the material and encouraged me to do xxx
100,xxx xxx held xxx in which we could ask any questions we needed answers to
101,working with groups
102,daily assessment allowed for class to make sure we understood every step
103,the scavenger hunts and exercises helped my group bond
104,we had multiple people who understood the proofs in class and we would discuss them
105,whenever i go in for xxx i understand the topic more
106,the board sheets that were given for each class helped me have an organized set of example problems
107,working through the problems with the whole class and discussing different methods
108,i really enjoyed having a fun class as it made class more engaging and fun also i liked his teaching methods
109,working in xxx an learning how to code in it
110,i would say when xxx xxx repeats the previous lesson at the beginning of every class i think this is really helpful to remind us what we have learned and how it relates to today lesson
111,i think conducting in class statistical analysis laws with xxx was very helpful in understanding the different concepts for the course i think those activities are what helped me the most
112,having the teacher be able to look back on past experiences and then make them into examples helped
113,one time we broke apart into two groups with learning marines so that people could get extra help or people could work ahead which i found was a good use of my time in class to not have to go over things i already had a good handle on
114,the flowcharts that xxx xxx showed and the course guide
115,the constant use of black boards to complete in class questions
116,work with partners
117,xxx xxx
118,doing part of the xxx xxx in class helped a lot to start the xxx xxx later
119,a teacher who helped facilitate critical thinking
120,working in groups on practice problems and other in class assignment
121,i really liked the coming on xxx it definitely made me think more clinically and i was always really excited to tackle the problem
122,the group portions of the xxx were particularly challenging as i have never had to work on a test as a group before not only did it draw on time management but also people management as you try to allocate different problems to different people in your group
123,in the classroom going over lessons on the board and doing practice problems helped greatly to understand the concepts behind the tasks we were doing
124,xxx xxx emphasized realworld applications to our lessons this helped me clinically think about issues in the world and xxx another helpful aspect to the class was xxx xxxi power point animation it helped me visualized our lessons worked
125,i enjoyed the amount of board work we would do in class
126,i liked how every once in a while we would go to boards and work out problems as a class
127,i believe that working in tears was a very important part in this path class it allowed for the students to build a better understanding of the material and work with peers who may have a different perspective on problem solving
128,treating cadets as adults by giving all required sources and detailed solutions but not managing them to do for example web assign every day
129,my classmates always helped me understand topics when i did not understand the information provided by the instructor when information was confusing my desk mates helped to clear up any confusion
130,xxx xxx was very good at guiding us through difficult concepts without doing the thinking for us
131,we were assigned senators for our projects who helped greatly i learned more from my enter than i was able to understand in class because of the oneonone help
132,xxx xxx was extremely helpful one thing that particularly helped was his unique way of making people participate in class he used flashcards and random called on cadets which made everyone pat attention to class and participate
133,a helpful classroom experience that i had this smelter was when we all were actively engaged in the conversation and people were asking very helpful questions before the xxx
134,xxx xxx was really good at showing us how to solve problems and offering the proof
135,i learned to use given data create a model based on that and check how good that model is
136,small class size allowed for me to ask a lot of questions
137,xxx work on path modeling days
138,when we went through the maththeoretical concepts of neutral network before coming one
139,being able to see these problems in real world applications
140,creating the charts in notes and on the boards all of the notes he took on the board were super helpful to look back on when studying
141,using a data set that cadets can relate to the xxx one to stimulate thinking
142,xxx xxx was very good about challenging us while still giving us help as needed at least after the first problem set he was very understanding towards our level of knowledge he had us code a lot but was always willing to look at our code or work on it in class also really love the life stories
143,the experience of working in groups was one that i learned a lot from
144,the xxx we worked with was helpful and very interesting and relevant to the material even though the projects we did took a long time i thought they supplemented the course well i also had not done path projects in the past it was strictly learning the material test and then the next topic
145,working with groupmates everyday to help tearworn skill as well as mathematical skill
146,the xxx work was very helpful in solidifying topics we had just covered
147,the board questions and examples provided in the textbook was very good at walking you step by step through the concepts and applying them this helped me prepare for the xxx and homework questions
148,taking boards and working out the different place transform in small groups helped a lot
149,xxx xxx used a lot of real world examples to go hand in hand with his lessons this made the lessons easier to understand when learning difficult topics
150,one helpful experience was working through trigonometric and power functions in expel together as a class
151,working in groups at the boards
152,when we had a quit where we told simple instructions in the execution of it and xxx xxx walked out and we all had to deliberately work together to work the quit that engaged my attention and comprehension of the work i retained that information well
153,xxx xxx has been particularly helpful in my linear xxxlgebra nightmare i chose this course because i thought it would be easy and manageable on recommendation from a first in insight i should have been more prepared to commit time to this class
154,when i received help from a student in my new group on the night before homework
155,going over example problems the few times we actually could finish them
156,doing partner board problems and relying on others in the course for learning when i was struggling with a concept
157,a helpful class experience was the end of block days where we reviewed as a class and then presented parts of the block in groups by the end of the class i had a broad review of all class concepts
158,going through xxx code in class together
159,xxx work when going through webassign problems
160,depth discussion of difficult material in class until everyone understood
161,our seats were sometimes scrambled so we could see chance in practice
162,the teachers understanding of the path really helped to truly understand more of the harder topics in the course
163,we worked in groups most of the time and that really helped me a lot
164,having xxx xxx as a teacher was honestly the most helpful experience in she has been awesome as a teacher and an even better person
165,the xxxi we did with the tank type think helped me better grasp the concept in a real way
166,getting to peered the final project write up in class was extremely helpful in terms of the course project
167,xxx problems and when the teacher walked through the board problems
168,boardwork
169,having in class xxx was helpful the day before xxx when we have access to the teacher during the problem solving lab and the day before the course project was due having time to peer review and ask questions in class was valuable
170,a helpful situation was through the use of the xxx all xxxi were able to take the blocks information and apply it to a complex problem or problems that in turn helped me really understand the material
171,doing the path project
172,the board problems that we did at the end of each lesson helped me really gain a good understanding of the material and how to use studio
173,our instructor stayed after class and let myself and another student run through a problem that significantly helped me on that topic
174,doing practice problems that are similar to the ones on the xxx normally in class the questions are significantly easier than the xxx so when we do an advance question it helps more on the xxx
175,the final path modeling day in this class used a lot of our skill in an advanced way but i still had a firm grasp on the material
176,he used the xxx of xxx to help us learn about probability
177,whenever he actually went into detail over the confusing material instead of just assuming we understood like other teachers
178,i really enjoyed the board activities that we did i think that was the experience within class that benefited my learning it offered a chance for us to practice the material collaborate with others and have the teacher assist if needed
179,xxx xxx would always walk around and check our boards while we did board work if we weren understanding something he would carefully explain it to us until we did
180,something that was helpful in this class was reviewing the lesson in class then applying the concepts to r studio with the corresponding code this allowed me to learn what i was doing and how to do it more efficiently
181,the instructor was very engaging when it came to explaining the days material
182,our xxx meeting was helpful in developing our project
183,during our projects and problem solving lab the instructor helped out a lot
184,nan
185,using xxx studio everyday
186,going over board problems in class
187,nan
188,doing real world problems associated with each lesson it really helped my understanding of how to actually apply the concepts we learned instead of just memorizing steps and functions
189,the xxx before class after class and out of class was extremely helpful he took time to discuss not only class related subjects but stimulated questions about the xxx as well even if he may not seem like he cares you can tell he does the extra comments and life personal touches in class are humorous xxx keep those it helps cadets to learn the standard and strive to be better it may take time but these cadets will be able to reflect upon this time in the future and better themselves hopefully
190,xxx xxx started to do boardwork in the middle of the smelter and that helped a lot
191,the handouts given in class generally helped me to understand the content
192,i really enjoyed the group portions of the assessment
193,practicing by incorporating a game in the daily exercises
194,the constant going to the boards and forcing us to do laws in order to practice the coming and concepts that we were given in class were very helpful tools in my development throughout the course
195,working on the group project
196,xxxorking with my second god group xxx xxx and xxx xxx were extremely helpful i learned a lot from the two of them
197,the course project helped apply class learning to the real world which helped to drive home the concepts we were learning
198,our teacher always had relevant realworld problems so we had a sense of how we could actually apply the path we learn in real life xxx xxx is a great teacher and his efforts to prepare for his class is obvious i hope more teachers had his work ethics and desire to actually teach students
199,i got a lot of helpful practice from doing board problems with a partner
200,xxx xxx called me up to the board once and had me demonstrate my knowledge to the class this required me to think on the spot and reinforced confidence in my ability for that particular lesson
201,xxx xxx is always willing to answer questions one on one after class
202,always working at the boards in groups
203,the kaleidoscope xxx
204,in the beginning of the smelter we had a lot of group work where we could interact and ask questions from my instructor
205,xxx xxx was extremely effective in utilizing the use of extremely useful handouts and notesheets which helped me tremendous in studying
206,taking boards
207,xxx xxx
208,amount of reference sheets and stuff we are allowed on the xxxi
209,i thought that the problem solving laws were helpful because they helped increase my understanding of course material both for myself and for the xxx
210,working together in groups everyday in class using the boards to do our work
211,doing board problems
212,the instructor use of well thought out lesson plans
213,taking board individually for in class problems
214,having xxx help with peers in class
215,xxx project
216,the final project with a partner
217,i think that when we did break down into groups and work together it was helpful
218,i would say using board work and group work helped my classroom experience in the path course
219,we were assigned different partners for laws
220,when the xxx was in the classroom we had a great learning day
221,the note sheets for grade assignment were very useful
222,working through board problems helped me to understand the concepts we went over in class
223,using your tablet to write all the notes and going through specific problems in class especially towards the end of the course really helped when i went back to study because i study best by going through examples
224,very open to answering difficult questions
